obs0 4.8553e-01, 364995672930444459907947960722622028241419693173207262482310267260538239083772002902539476734022187190151342790843637845244893479026617428391331595683226951660816869302768489617908964627916521472.000      0.001
obs1 4.8553e-01, 364995672930444459907947960722622028241419693173207262482310267260538239083772002902539476734022187190151342790843637845244893479026617428391331595683226951660816869302768489617908964627916521472.000      0.001
obs2 4.8553e-01, 364995672930444459907947960722622028241419693173207262482310267260538239083772002902539476734022187190151342790843637845244893479026617428391331595683226951660816869302768489617908964627916521472.000      0.001
obs3 4.8553e-01, 364995672930444459907947960722622028241419693173207262482310267260538239083772002902539476734022187190151342790843637845244893479026617428391331595683226951660816869302768489617908964627916521472.000      0.001
obs4 4.8553e-01, 364995672930444459907947960722622028241419693173207262482310267260538239083772002902539476734022187190151342790843637845244893479026617428391331595683226951660816869302768489617908964627916521472.000      0.001
obs5 4.8553e-01, 364995672930444459907947960722622028241419693173207262482310267260538239083772002902539476734022187190151342790843637845244893479026617428391331595683226951660816869302768489617908964627916521472.000      0.001
obs6 4.8553e-01, 364995672930444459907947960722622028241419693173207262482310267260538239083772002902539476734022187190151342790843637845244893479026617428391331595683226951660816869302768489617908964627916521472.000      0.001
obs7 4.8553e-01, 364995672930444459907947960722622028241419693173207262482310267260538239083772002902539476734022187190151342790843637845244893479026617428391331595683226951660816869302768489617908964627916521472.000      0.001
obs8 4.8553e-01, 364995672930444459907947960722622028241419693173207262482310267260538239083772002902539476734022187190151342790843637845244893479026617428391331595683226951660816869302768489617908964627916521472.000      0.001
obs9 4.8553e-01,      0.000      0.001
